FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-09-14;EDAR PONFERRADA;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (20,90mm).
2021-09-14;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;La muestra se encuentra fuertemente diluida debido a las precipitaciones acumuladas entre el día anterior y el día de recogida de la muestra (30,64mm).
2021-09-14;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;La muestra se encuentra fuertemente diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (27,3mm)
2021-09-14;EDAR ASTORGA;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de la toma de muestra (21,71mm).
2021-09-14;EDAR LA BAÑEZA;POSITIVO;Disminución;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (21,31mm).
2021-09-14;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (13,33mm).
2021-09-14;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (27,3mm).
2021-09-14;EDAR BURGOS;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de la toma de muestra (21,51mm).
2021-09-12;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-09-08;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-09-07;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-09-07;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-09-07;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-09-07;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-09-07;EDAR BÉJAR;NEGATIVO;S/D;
2021-09-07;EDAR PALENCIA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-09-07;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-09-07;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-09-07;EDAR ZAMORA;NEGATIVO;S/D;
2021-09-07;EDAR ASTORGA;NEGATIVO;S/D;
2021-09-07;EDAR ÁVILA;NEGATIVO;S/D;
2021-09-07;EDAR BENAVENTE;NEGATIVO;S/D;
2021-09-07;COLECTOR LEÓN;POSITIVO;Disminución significativa;
2021-09-07;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-09-07;EDAR PONFERRADA;NEGATIVO;S/D;
2021-09-07;EDAR SALAMANCA;POSITIVO;Estable;
2021-09-07;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-09-07;EDAR BURGOS;POSITIVO;Aumento;
2021-09-07;EDAR CIUDAD RODRIGO;POSITIVO;Aumento significativo;
2021-09-07;EDAR LA BAÑEZA;POSITIVO;Disminución;
2021-09-07;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-09-05;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-09-01;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (4,6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-08-31;COLECTOR LEÓN;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-31;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-08-31;EDAR SALAMANCA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-31;EDAR CIUDAD RODRIGO;POSITIVO;Disminución significativa;
2021-08-31;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-08-31;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución;
2021-08-31;EDAR PALENCIA;NEGATIVO;S/D;
2021-08-31;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-08-31;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-31;EDAR ZAMORA;NEGATIVO;S/D;
2021-08-31;EDAR SORIA (VATAR);POSITIVO;Aumento;Hubo precipitaciones el día anterior (6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-08-31;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-08-31;EDAR ASTORGA;NEGATIVO;S/D;
2021-08-31;EDAR BÉJAR;POSITIVO;Estable;
2021-08-31;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-31;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-08-31;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-31;EDAR BENAVENTE;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-31;EDAR BURGOS;POSITIVO;Disminución;
2021-08-31;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-29;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-08-25;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-08-24;EDAR SALAMANCA;NEGATIVO;S/D;
2021-08-24;EDAR ZAMORA;NEGATIVO;S/D;
2021-08-24;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-08-24;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-08-24;EDAR PALENCIA;NEGATIVO;S/D;
2021-08-24;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-24;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento significativo;
2021-08-24;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-24;EDAR LA BAÑEZA;POSITIVO;Aumento;
2021-08-24;COLECTOR LEÓN;NEGATIVO;S/D;
2021-08-24;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-24;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-24;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-08-24;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-08-24;EDAR ARANDA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-08-24;EDAR ASTORGA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-08-24;EDAR BÉJAR;POSITIVO;Estable;
2021-08-24;EDAR BENAVENTE;NEGATIVO;S/D;
2021-08-24;EDAR BURGOS;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-24;EDAR CIUDAD RODRIGO;POSITIVO;Estable;
2021-08-24;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-22;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-08-18;EDAR SEGOVIA (VATAR);POSITIVO;Disminución;
2021-08-17;EDAR SALAMANCA;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-17;EDAR ZAMORA;POSITIVO;Disminución significativa;
2021-08-17;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-17;EDAR BENAVENTE;POSITIVO;Disminución significativa;
2021-08-17;EDAR LA BAÑEZA;POSITIVO;Disminución significativa;
2021-08-17;COLECTOR LEÓN;POSITIVO;Disminución;
